,Область,Год,Население,Unnamed: 0,index,ranks
159,Актюбинская,2015,833582,,272.3,160
150,Алматинская,2015,1921888,,258.0,151
151,Алматинская,2015,1924454,,259.7,152
152,Алматинская,2015,1927020,,261.4,153
153,Алматинская,2015,1929587,,263.1,154
154,Алматинская,2015,1932153,,264.8,155
155,Алматинская,2015,1934720,,266.5,156
156,Алматинская,2015,1937286,,268.2,157
157,Алматинская,2015,1939852,,269.9,158
158,Алматинская,2015,1942419,,271.6,159
159,Алматинская,2015,1944985,,273.3,160
150,Алматы,2015,1641444,,271.0,151
151,Алматы,2015,1647576,,272.7,152
152,Алматы,2015,1653708,,274.4,153
153,Алматы,2015,1659840,,276.1,154
154,Алматы,2015,1665972,,277.8,155
155,Алматы,2015,1672105,,279.5,156
156,Алматы,2015,1678237,,281.2,157
157,Алматы,2015,1684369,,282.9,158
158,Алматы,2015,1690501,,284.6,159
159,Алматы,2015,1696633,,286.3,160
150,Астана,2015,852803,,270.0,151
151,Астана,2015,854781,,271.7,152
152,Астана,2015,856759,,273.4,153
153,Астана,2015,858737,,275.1,154
154,Астана,2015,860715,,276.8,155
155,Астана,2015,862693,,278.5,156
156,Астана,2015,864671,,280.2,157
157,Астана,2015,866649,,281.9,158
158,Астана,2015,868627,,283.6,159
159,Астана,2015,870605,,285.3,160
150,Атырауская,2015,581389,,259.0,151
151,Атырауская,2015,582701,,260.7,152
152,Атырауская,2015,584013,,262.4,153
153,Атырауская,2015,585325,,264.1,154
154,Атырауская,2015,586637,,265.8,155
155,Атырауская,2015,587950,,267.5,156
156,Атырауская,2015,589262,,269.2,157
157,Атырауская,2015,590574,,270.9,158
158,Атырауская,2015,591886,,272.6,159
159,Атырауская,2015,593198,,274.3,160
150,ВКО,2015,1395466,,269.0,151
151,ВКО,2015,1395521,,270.7,152
152,ВКО,2015,1395576,,272.4,153
153,ВКО,2015,1395631,,274.1,154
154,ВКО,2015,1395687,,275.8,155
155,ВКО,2015,1395742,,277.5,156
156,ВКО,2015,1395797,,279.2,157
157,ВКО,2015,1395853,,280.9,158
158,ВКО,2015,1395908,,282.6,159
159,ВКО,2015,1395963,,284.3,160
150,Жамбылская,2015,1098489,,261.0,151
151,Жамбылская,2015,1099715,,262.7,152
152,Жамбылская,2015,1100941,,264.4,153
153,Жамбылская,2015,1102167,,266.1,154
154,Жамбылская,2015,1103393,,267.8,155
155,Жамбылская,2015,1104619,,269.5,156
156,Жамбылская,2015,1105845,,271.2,157
157,Жамбылская,2015,1107071,,272.9,158
158,Жамбылская,2015,1108297,,274.6,159
159,Жамбылская,2015,1109523,,276.3,160
150,ЗКО,2015,630056,,260.0,151
151,ЗКО,2015,630748,,261.7,152
152,ЗКО,2015,631440,,263.4,153
153,ЗКО,2015,632133,,265.1,154
154,ЗКО,2015,632825,,266.8,155
155,ЗКО,2015,633518,,268.5,156
156,ЗКО,2015,634210,,270.2,157
157,ЗКО,2015,634902,,271.9,158
158,ЗКО,2015,635595,,273.6,159
159,ЗКО,2015,636287,,275.3,160
150,Карагандинская,2015,1378121,,262.0,151
151,Карагандинская,2015,1378789,,263.7,152
152,Карагандинская,2015,1379458,,265.4,153
153,Карагандинская,2015,1380127,,267.1,154
154,Карагандинская,2015,1380796,,268.8,155
155,Карагандинская,2015,1381465,,270.5,156
156,Карагандинская,2015,1382134,,272.2,157
157,Карагандинская,2015,1382803,,273.9,158
158,Карагандинская,2015,1383472,,275.6,159
159,Карагандинская,2015,1384141,,277.3,160
150,Костанайская,2015,881569,,263.0,151
151,Костанайская,2015,881792,,264.7,152
152,Костанайская,2015,882016,,266.4,153
153,Костанайская,2015,882240,,268.1,154
154,Костанайская,2015,882463,,269.8,155
155,Костанайская,2015,882687,,271.5,156
156,Костанайская,2015,882911,,273.2,157
157,Костанайская,2015,883134,,274.9,158
158,Костанайская,2015,883358,,276.6,159
159,Костанайская,2015,883582,,278.3,160
150,Кызылординская,2015,753001,,264.0,151
151,Кызылординская,2015,754206,,265.7,152
152,Кызылординская,2015,755412,,267.4,153
153,Кызылординская,2015,756618,,269.1,154
154,Кызылординская,2015,757823,,270.8,155
155,Кызылординская,2015,759029,,272.5,156
156,Кызылординская,2015,760235,,274.2,157
157,Кызылординская,2015,761440,,275.9,158
158,Кызылординская,2015,762646,,277.6,159
159,Кызылординская,2015,763852,,279.3,160
150,Мангистауская,2015,606843,,265.0,151
151,Мангистауская,2015,608836,,266.7,152
152,Мангистауская,2015,610829,,268.4,153
153,Мангистауская,2015,612822,,270.1,154
154,Мангистауская,2015,614815,,271.8,155
155,Мангистауская,2015,616808,,273.5,156
156,Мангистауская,2015,618801,,275.2,157
157,Мангистауская,2015,620794,,276.9,158
158,Мангистауская,2015,622787,,278.6,159
159,Мангистауская,2015,624780,,280.3,160
150,Павлодарская,2015,755793,,266.0,151
151,Павлодарская,2015,756073,,267.7,152
152,Павлодарская,2015,756353,,269.4,153
153,Павлодарская,2015,756633,,271.1,154
154,Павлодарская,2015,756913,,272.8,155
155,Павлодарская,2015,757193,,274.5,156
156,Павлодарская,2015,757473,,276.2,157
157,Павлодарская,2015,757753,,277.9,158
158,Павлодарская,2015,758033,,279.6,159
159,Павлодарская,2015,758313,,281.3,160
150,Республика Казахстан ,2015,17415715,,255.0,151
151,Республика Казахстан ,2015,17441133,,256.7,152
152,Республика Казахстан ,2015,17466551,,258.4,153
153,Республика Казахстан ,2015,17491969,,260.1,154
154,Республика Казахстан ,2015,17517387,,261.8,155
155,Республика Казахстан ,2015,17542805,,263.5,156
156,Республика Казахстан ,2015,17568223,,265.2,157
157,Республика Казахстан ,2015,17593641,,266.9,158
158,Республика Казахстан ,2015,17619059,,268.6,159
159,Республика Казахстан ,2015,17644477,,270.3,160
159,СКО,2015,569817,,282.3,151
158,СКО,2015,570041,,280.6,152
157,СКО,2015,570264,,278.9,153
156,СКО,2015,570488,,277.2,154
155,СКО,2015,570712,,275.5,155
154,СКО,2015,570935,,273.8,156
153,СКО,2015,571159,,272.1,157
152,СКО,2015,571382,,270.4,158
151,СКО,2015,571606,,268.7,159
150,СКО,2015,571830,,267.0,160
150,Туркестанская,2015,2787906,,268.0,151
151,Туркестанская,2015,2793202,,269.7,152
152,Туркестанская,2015,2798499,,271.4,153
153,Туркестанская,2015,2803795,,273.1,154
154,Туркестанская,2015,2809092,,274.8,155
155,Туркестанская,2015,2814388,,276.5,156
156,Туркестанская,2015,2819685,,278.2,157
157,Туркестанская,2015,2824981,,279.9,158
158,Туркестанская,2015,2830278,,281.6,159
159,Туркестанская,2015,2835574,,283.3,160
169,Акмолинская,2016,735374,,288.3,161
168,Акмолинская,2016,736379,,286.6,162
167,Акмолинская,2016,737384,,284.9,163
166,Акмолинская,2016,738389,,283.2,164
165,Акмолинская,2016,739394,,281.5,165
164,Акмолинская,2016,740399,,279.8,166
163,Акмолинская,2016,741404,,278.1,167
162,Акмолинская,2016,742409,,276.4,168
161,Акмолинская,2016,743414,,274.7,169
160,Акмолинская,2016,744420,,273.0,170
160,Актюбинская,2016,834808,,274.0,161
161,Актюбинская,2016,835895,,275.7,162
162,Актюбинская,2016,836982,,277.4,163
163,Актюбинская,2016,838069,,279.1,164
164,Актюбинская,2016,839156,,280.8,165
165,Актюбинская,2016,840243,,282.5,166
166,Актюбинская,2016,841330,,284.2,167
167,Актюбинская,2016,842417,,285.9,168
168,Актюбинская,2016,843504,,287.6,169
169,Актюбинская,2016,844591,,289.3,170
160,Алматинская,2016,1947552,,275.0,161
161,Алматинская,2016,1951143,,276.7,162
162,Алматинская,2016,1954734,,278.4,163
163,Алматинская,2016,1958325,,280.1,164
164,Алматинская,2016,1961917,,281.8,165
165,Алматинская,2016,1965508,,283.5,166
166,Алматинская,2016,1969099,,285.2,167
167,Алматинская,2016,1972691,,286.9,168
168,Алматинская,2016,1976282,,288.6,169
169,Алматинская,2016,1979873,,290.3,170
160,Алматы,2016,1702766,,288.0,161
161,Алматы,2016,1707620,,289.7,162
162,Алматы,2016,1712474,,291.4,163
163,Алматы,2016,1717328,,293.1,164
164,Алматы,2016,1722182,,294.8,165
165,Алматы,2016,1727037,,296.5,166
166,Алматы,2016,1731891,,298.2,167
167,Алматы,2016,1736745,,299.9,168
168,Алматы,2016,1741599,,301.6,169
169,Алматы,2016,1746453,,303.3,170
160,Астана,2016,872584,,287.0,161
161,Астана,2016,882594,,288.7,162
162,Астана,2016,892605,,290.4,163
163,Астана,2016,902616,,292.1,164
164,Астана,2016,912627,,293.8,165
165,Астана,2016,922638,,295.5,166
166,Астана,2016,932648,,297.2,167
167,Астана,2016,942659,,298.9,168
168,Астана,2016,952670,,300.6,169
169,Астана,2016,962681,,302.3,170
160,Атырауская,2016,594511,,276.0,161
161,Атырауская,2016,595812,,277.7,162
162,Атырауская,2016,597114,,279.4,163
163,Атырауская,2016,598416,,281.1,164
164,Атырауская,2016,599717,,282.8,165
165,Атырауская,2016,601019,,284.5,166
166,Атырауская,2016,602321,,286.2,167
167,Атырауская,2016,603622,,287.9,168
168,Атырауская,2016,604924,,289.6,169
169,Атырауская,2016,606226,,291.3,170
169,ВКО,2016,1390213,,301.3,161
168,ВКО,2016,1390858,,299.6,162
167,ВКО,2016,1391503,,297.9,163
166,ВКО,2016,1392148,,296.2,164
165,ВКО,2016,1392793,,294.5,165
164,ВКО,2016,1393438,,292.8,166
163,ВКО,2016,1394083,,291.1,167
162,ВКО,2016,1394728,,289.4,168
161,ВКО,2016,1395373,,287.7,169
160,ВКО,2016,1396019,,286.0,170
160,Жамбылская,2016,1110749,,278.0,161
161,Жамбылская,2016,1111204,,279.7,162
162,Жамбылская,2016,1111660,,281.4,163
163,Жамбылская,2016,1112116,,283.1,164
164,Жамбылская,2016,1112572,,284.8,165
165,Жамбылская,2016,1113028,,286.5,166
166,Жамбылская,2016,1113483,,288.2,167
167,Жамбылская,2016,1113939,,289.9,168
168,Жамбылская,2016,1114395,,291.6,169
169,Жамбылская,2016,1114851,,293.3,170
160,ЗКО,2016,636980,,277.0,161
161,ЗКО,2016,637433,,278.7,162
162,ЗКО,2016,637886,,280.4,163
163,ЗКО,2016,638339,,282.1,164
164,ЗКО,2016,638793,,283.8,165
165,ЗКО,2016,639246,,285.5,166
166,ЗКО,2016,639699,,287.2,167
167,ЗКО,2016,640153,,288.9,168
168,ЗКО,2016,640606,,290.6,169
169,ЗКО,2016,641059,,292.3,170
169,Карагандинская,2016,1382941,,294.3,161
168,Карагандинская,2016,1383149,,292.6,162
167,Карагандинская,2016,1383356,,290.9,163
166,Карагандинская,2016,1383564,,289.2,164
165,Карагандинская,2016,1383772,,287.5,165
164,Карагандинская,2016,1383979,,285.8,166
163,Карагандинская,2016,1384187,,284.1,167
162,Карагандинская,2016,1384394,,282.4,168
161,Карагандинская,2016,1384602,,280.7,169
160,Карагандинская,2016,1384810,,279.0,170
169,Костанайская,2016,879601,,295.3,161
168,Костанайская,2016,880068,,293.6,162
167,Костанайская,2016,880535,,291.9,163
166,Костанайская,2016,881002,,290.2,164
165,Костанайская,2016,881470,,288.5,165
164,Костанайская,2016,881937,,286.8,166
163,Костанайская,2016,882404,,285.1,167
162,Костанайская,2016,882871,,283.4,168
161,Костанайская,2016,883338,,281.7,169
160,Костанайская,2016,883806,,280.0,170
160,Кызылординская,2016,765058,,281.0,161
161,Кызылординская,2016,765866,,282.7,162
162,Кызылординская,2016,766675,,284.4,163
163,Кызылординская,2016,767483,,286.1,164
164,Кызылординская,2016,768292,,287.8,165
165,Кызылординская,2016,769100,,289.5,166
166,Кызылординская,2016,769909,,291.2,167
167,Кызылординская,2016,770717,,292.9,168
168,Кызылординская,2016,771526,,294.6,169
169,Кызылординская,2016,772334,,296.3,170
160,Мангистауская,2016,626774,,282.0,161
161,Мангистауская,2016,628379,,283.7,162
162,Мангистауская,2016,629984,,285.4,163
163,Мангистауская,2016,631589,,287.1,164
164,Мангистауская,2016,633194,,288.8,165
165,Мангистауская,2016,634799,,290.5,166
166,Мангистауская,2016,636404,,292.2,167
167,Мангистауская,2016,638009,,293.9,168
168,Мангистауская,2016,639614,,295.6,169
169,Мангистауская,2016,641219,,297.3,170
169,Павлодарская,2016,757172,,298.3,161
168,Павлодарская,2016,757330,,296.6,162
167,Павлодарская,2016,757488,,294.9,163
166,Павлодарская,2016,757646,,293.2,164
165,Павлодарская,2016,757804,,291.5,165
164,Павлодарская,2016,757962,,289.8,166
163,Павлодарская,2016,758120,,288.1,167
162,Павлодарская,2016,758278,,286.4,168
161,Павлодарская,2016,758436,,284.7,169
160,Павлодарская,2016,758594,,283.0,170
160,Республика Казахстан ,2016,17669896,,272.0,161
161,Республика Казахстан ,2016,17694727,,273.7,162
162,Республика Казахстан ,2016,17719559,,275.4,163
163,Республика Казахстан ,2016,17744391,,277.1,164
164,Республика Казахстан ,2016,17769223,,278.8,165
165,Республика Казахстан ,2016,17794055,,280.5,166
166,Республика Казахстан ,2016,17818886,,282.2,167
167,Республика Казахстан ,2016,17843718,,283.9,168
168,Республика Казахстан ,2016,17868550,,285.6,169
169,Республика Казахстан ,2016,17893382,,287.3,170
169,СКО,2016,563929,,299.3,161
168,СКО,2016,564558,,297.6,162
167,СКО,2016,565188,,295.9,163
166,СКО,2016,565817,,294.2,164
165,СКО,2016,566447,,292.5,165
164,СКО,2016,567076,,290.8,166
163,СКО,2016,567705,,289.1,167
162,СКО,2016,568335,,287.4,168
161,СКО,2016,568964,,285.7,169
160,СКО,2016,569594,,284.0,170
169,Туркестанская,2016,2053789,,300.3,161
168,Туркестанская,2016,2141243,,298.6,162
167,Туркестанская,2016,2228696,,296.9,163
166,Туркестанская,2016,2316150,,295.2,164
165,Туркестанская,2016,2403603,,293.5,165
164,Туркестанская,2016,2491057,,291.8,166
163,Туркестанская,2016,2578510,,290.1,167
162,Туркестанская,2016,2665964,,288.4,168
161,Туркестанская,2016,2753417,,286.7,169
160,Туркестанская,2016,2840871,,285.0,170
170,Акмолинская,2017,734369,,290.0,171
171,Акмолинская,2017,734826,,291.8,172
172,Акмолинская,2017,735283,,293.6,173
173,Акмолинская,2017,735740,,295.4,174
174,Акмолинская,2017,736198,,297.2,175
175,Акмолинская,2017,736655,,299.0,176
176,Акмолинская,2017,737112,,300.8,177
177,Акмолинская,2017,737570,,302.6,178
178,Акмолинская,2017,738027,,304.4,179
179,Акмолинская,2017,738484,,306.2,180
170,Актюбинская,2017,845679,,291.0,171
171,Актюбинская,2017,846882,,292.8,172
172,Актюбинская,2017,848085,,294.6,173
173,Актюбинская,2017,849288,,296.4,174
174,Актюбинская,2017,850491,,298.2,175
175,Актюбинская,2017,851695,,300.0,176
176,Актюбинская,2017,852898,,301.8,177
177,Актюбинская,2017,854101,,303.6,178
178,Актюбинская,2017,855304,,305.4,179
179,Актюбинская,2017,856507,,307.2,180
170,Алматинская,2017,1983465,,292.0,171
171,Алматинская,2017,1986846,,293.8,172
172,Алматинская,2017,1990227,,295.6,173
173,Алматинская,2017,1993608,,297.4,174
174,Алматинская,2017,1996990,,299.2,175
175,Алматинская,2017,2000371,,301.0,176
176,Алматинская,2017,2003752,,302.8,177
177,Алматинская,2017,2007134,,304.6,178
178,Алматинская,2017,2010515,,306.4,179
179,Алматинская,2017,2013896,,308.2,180
170,Алматы,2017,1751308,,305.0,171
171,Алматы,2017,1756376,,306.8,172
172,Алматы,2017,1761445,,308.6,173
173,Алматы,2017,1766513,,310.4,174
174,Алматы,2017,1771582,,312.2,175
175,Алматы,2017,1776650,,314.0,176
176,Алматы,2017,1781719,,315.8,177
177,Алматы,2017,1786787,,317.6,178
178,Алматы,2017,1791856,,319.4,179
179,Алматы,2017,1796924,,321.2,180
170,Астана,2017,972692,,304.0,171
171,Астана,2017,978480,,305.8,172
172,Астана,2017,984269,,307.6,173
173,Астана,2017,990057,,309.4,174
174,Астана,2017,995846,,311.2,175
175,Астана,2017,1001634,,313.0,176
176,Астана,2017,1007423,,314.8,177
177,Астана,2017,1013211,,316.6,178
178,Астана,2017,1019000,,318.4,179
179,Астана,2017,1024788,,320.2,180
170,Атырауская,2017,607528,,293.0,171
171,Атырауская,2017,608843,,294.8,172
172,Атырауская,2017,610159,,296.6,173
173,Атырауская,2017,611474,,298.4,174
174,Атырауская,2017,612790,,300.2,175
175,Атырауская,2017,614106,,302.0,176
176,Атырауская,2017,615421,,303.8,177
177,Атырауская,2017,616737,,305.6,178
178,Атырауская,2017,618052,,307.4,179
179,Атырауская,2017,619368,,309.2,180
179,ВКО,2017,1384327,,319.2,171
178,ВКО,2017,1384909,,317.4,172
177,ВКО,2017,1385491,,315.6,173
176,ВКО,2017,1386074,,313.8,174
175,ВКО,2017,1386656,,312.0,175
174,ВКО,2017,1387238,,310.2,176
173,ВКО,2017,1387821,,308.4,177
172,ВКО,2017,1388403,,306.6,178
171,ВКО,2017,1388985,,304.8,179
170,ВКО,2017,1389568,,303.0,180
170,Жамбылская,2017,1115307,,295.0,171
171,Жамбылская,2017,1115498,,296.8,172
172,Жамбылская,2017,1115689,,298.6,173
173,Жамбылская,2017,1115880,,300.4,174
174,Жамбылская,2017,1116071,,302.2,175
175,Жамбылская,2017,1116262,,304.0,176
176,Жамбылская,2017,1116453,,305.8,177
177,Жамбылская,2017,1116644,,307.6,178
178,Жамбылская,2017,1116835,,309.4,179
179,Жамбылская,2017,1117026,,311.2,180
170,ЗКО,2017,641513,,294.0,171
171,ЗКО,2017,642054,,295.8,172
172,ЗКО,2017,642595,,297.6,173
173,ЗКО,2017,643137,,299.4,174
174,ЗКО,2017,643678,,301.2,175
175,ЗКО,2017,644220,,303.0,176
176,ЗКО,2017,644761,,304.8,177
177,ЗКО,2017,645302,,306.6,178
178,ЗКО,2017,645844,,308.4,179
179,ЗКО,2017,646385,,310.2,180
179,Карагандинская,2017,1380756,,312.2,171
178,Карагандинская,2017,1380976,,310.4,172
177,Карагандинская,2017,1381196,,308.6,173
176,Карагандинская,2017,1381415,,306.8,174
175,Карагандинская,2017,1381635,,305.0,175
174,Карагандинская,2017,1381855,,303.2,176
173,Карагандинская,2017,1382074,,301.4,177
172,Карагандинская,2017,1382294,,299.6,178
171,Карагандинская,2017,1382514,,297.8,179
170,Карагандинская,2017,1382734,,296.0,180
179,Костанайская,2017,875967,,313.2,171
178,Костанайская,2017,876319,,311.4,172
177,Костанайская,2017,876671,,309.6,173
176,Костанайская,2017,877023,,307.8,174
175,Костанайская,2017,877375,,306.0,175
174,Костанайская,2017,877726,,304.2,176
173,Костанайская,2017,878078,,302.4,177
172,Костанайская,2017,878430,,300.6,178
171,Костанайская,2017,878782,,298.8,179
170,Костанайская,2017,879134,,297.0,180
170,Кызылординская,2017,773143,,298.0,171
171,Кызылординская,2017,774144,,299.8,172
172,Кызылординская,2017,775145,,301.6,173
173,Кызылординская,2017,776147,,303.4,174
174,Кызылординская,2017,777148,,305.2,175
175,Кызылординская,2017,778150,,307.0,176
176,Кызылординская,2017,779151,,308.8,177
177,Кызылординская,2017,780152,,310.6,178
178,Кызылординская,2017,781154,,312.4,179
179,Кызылординская,2017,782155,,314.2,180
170,Мангистауская,2017,642824,,299.0,171
171,Мангистауская,2017,644573,,300.8,172
172,Мангистауская,2017,646322,,302.6,173
173,Мангистауская,2017,648071,,304.4,174
174,Мангистауская,2017,649821,,306.2,175
175,Мангистауская,2017,651570,,308.0,176
176,Мангистауская,2017,653319,,309.8,177
177,Мангистауская,2017,655069,,311.6,178
178,Мангистауская,2017,656818,,313.4,179
179,Мангистауская,2017,658567,,315.2,180
179,Павлодарская,2017,755070,,316.2,171
178,Павлодарская,2017,755286,,314.4,172
177,Павлодарская,2017,755502,,312.6,173
176,Павлодарская,2017,755718,,310.8,174
175,Павлодарская,2017,755934,,309.0,175
174,Павлодарская,2017,756150,,307.2,176
173,Павлодарская,2017,756366,,305.4,177
172,Павлодарская,2017,756582,,303.6,178
171,Павлодарская,2017,756798,,301.8,179
170,Павлодарская,2017,757014,,300.0,180
170,Республика Казахстан ,2017,17918214,,289.0,171
171,Республика Казахстан ,2017,17942126,,290.8,172
172,Республика Казахстан ,2017,17966038,,292.6,173
173,Республика Казахстан ,2017,17989950,,294.4,174
174,Республика Казахстан ,2017,18013863,,296.2,175
175,Республика Казахстан ,2017,18037775,,298.0,176
176,Республика Казахстан ,2017,18061687,,299.8,177
177,Республика Казахстан ,2017,18085600,,301.6,178
178,Республика Казахстан ,2017,18109512,,303.4,179
179,Республика Казахстан ,2017,18133424,,305.2,180
179,СКО,2017,559055,,317.2,171
178,СКО,2017,559527,,315.4,172
177,СКО,2017,559998,,313.6,173
176,СКО,2017,560470,,311.8,174
175,СКО,2017,560942,,310.0,175
174,СКО,2017,561413,,308.2,176
173,СКО,2017,561885,,306.4,177
172,СКО,2017,562356,,304.6,178
171,СКО,2017,562828,,302.8,179
170,СКО,2017,563300,,301.0,180
170,Туркестанская,2017,1966336,,302.0,171
171,Туркестанская,2017,1967405,,303.8,172
172,Туркестанская,2017,1968474,,305.6,173
173,Туркестанская,2017,1969543,,307.4,174
174,Туркестанская,2017,1970612,,309.2,175
175,Туркестанская,2017,1971682,,311.0,176
176,Туркестанская,2017,1972751,,312.8,177
177,Туркестанская,2017,1973820,,314.6,178
178,Туркестанская,2017,1974889,,316.4,179
179,Туркестанская,2017,1975958,,318.2,180
0,Шымкент,2017,912300,,306.0,1
1,Шымкент,2017,916286,,307.8,2
2,Шымкент,2017,920273,,309.6,3
3,Шымкент,2017,924260,,311.4,4
4,Шымкент,2017,928247,,313.2,5
5,Шымкент,2017,932234,,315.0,6
6,Шымкент,2017,936221,,316.8,7
7,Шымкент,2017,940208,,318.6,8
8,Шымкент,2017,944195,,320.4,9
9,Шымкент,2017,948182,,322.2,10
189,Акмолинская,2018,738622,,324.2,181
188,Акмолинская,2018,738658,,322.4,182
187,Акмолинская,2018,738693,,320.6,183
186,Акмолинская,2018,738729,,318.8,184
185,Акмолинская,2018,738764,,317.0,185
184,Акмолинская,2018,738800,,315.2,186
183,Акмолинская,2018,738835,,313.4,187
182,Акмолинская,2018,738871,,311.6,188
181,Акмолинская,2018,738906,,309.8,189
180,Акмолинская,2018,738942,,308.0,190
180,Актюбинская,2018,857711,,309.0,181
181,Актюбинская,2018,858903,,310.8,182
182,Актюбинская,2018,860096,,312.6,183
183,Актюбинская,2018,861288,,314.4,184
184,Актюбинская,2018,862481,,316.2,185
185,Актюбинская,2018,863674,,318.0,186
186,Актюбинская,2018,864866,,319.8,187
187,Актюбинская,2018,866059,,321.6,188
188,Актюбинская,2018,867251,,323.4,189
189,Актюбинская,2018,868444,,325.2,190
180,Алматинская,2018,2017278,,310.0,181
181,Алматинская,2018,2019443,,311.8,182
182,Алматинская,2018,2021609,,313.6,183
183,Алматинская,2018,2023775,,315.4,184
184,Алматинская,2018,2025940,,317.2,185
185,Алматинская,2018,2028106,,319.0,186
186,Алматинская,2018,2030272,,320.8,187
187,Алматинская,2018,2032437,,322.6,188
188,Алматинская,2018,2034603,,324.4,189
189,Алматинская,2018,2036769,,326.2,190
180,Алматы,2018,1801993,,323.0,181
181,Алматы,2018,1807259,,324.8,182
182,Алматы,2018,1812525,,326.6,183
183,Алматы,2018,1817791,,328.4,184
184,Алматы,2018,1823058,,330.2,185
185,Алматы,2018,1828324,,332.0,186
186,Алматы,2018,1833590,,333.8,187
187,Алматы,2018,1838857,,335.6,188
188,Алматы,2018,1844123,,337.4,189
189,Алматы,2018,1849389,,339.2,190
180,Астана,2018,1030577,,322.0,181
181,Астана,2018,1035357,,323.8,182
182,Астана,2018,1040138,,325.6,183
183,Астана,2018,1044919,,327.4,184
184,Астана,2018,1049699,,329.2,185
185,Астана,2018,1054480,,331.0,186
186,Астана,2018,1059261,,332.8,187
187,Астана,2018,1064041,,334.6,188
188,Астана,2018,1068822,,336.4,189
189,Астана,2018,1073603,,338.2,190
180,Атырауская,2018,620684,,311.0,181
181,Атырауская,2018,621994,,312.8,182
182,Атырауская,2018,623305,,314.6,183
183,Атырауская,2018,624616,,316.4,184
184,Атырауская,2018,625926,,318.2,185
185,Атырауская,2018,627237,,320.0,186
186,Атырауская,2018,628548,,321.8,187
187,Атырауская,2018,629858,,323.6,188
188,Атырауская,2018,631169,,325.4,189
189,Атырауская,2018,632480,,327.2,190
189,ВКО,2018,1379048,,337.2,181
188,ВКО,2018,1379570,,335.4,182
187,ВКО,2018,1380092,,333.6,183
186,ВКО,2018,1380614,,331.8,184
185,ВКО,2018,1381136,,330.0,185
184,ВКО,2018,1381657,,328.2,186
183,ВКО,2018,1382179,,326.4,187
182,ВКО,2018,1382701,,324.6,188
181,ВКО,2018,1383223,,322.8,189
180,ВКО,2018,1383745,,321.0,190
180,Жамбылская,2018,1117218,,313.0,181
181,Жамбылская,2018,1118040,,314.8,182
182,Жамбылская,2018,1118862,,316.6,183
183,Жамбылская,2018,1119684,,318.4,184
184,Жамбылская,2018,1120506,,320.2,185
185,Жамбылская,2018,1121329,,322.0,186
186,Жамбылская,2018,1122151,,323.8,187
187,Жамбылская,2018,1122973,,325.6,188
188,Жамбылская,2018,1123795,,327.4,189
189,Жамбылская,2018,1124617,,329.2,190
180,ЗКО,2018,646927,,312.0,181
181,ЗКО,2018,647466,,313.8,182
182,ЗКО,2018,648006,,315.6,183
183,ЗКО,2018,648546,,317.4,184
184,ЗКО,2018,649086,,319.2,185
185,ЗКО,2018,649626,,321.0,186
186,ЗКО,2018,650165,,322.8,187
187,ЗКО,2018,650705,,324.6,188
188,ЗКО,2018,651245,,326.4,189
189,ЗКО,2018,651785,,328.2,190
189,Карагандинская,2018,1378732,,330.2,181
188,Карагандинская,2018,1378933,,328.4,182
187,Карагандинская,2018,1379133,,326.6,183
186,Карагандинская,2018,1379334,,324.8,184
185,Карагандинская,2018,1379534,,323.0,185
184,Карагандинская,2018,1379735,,321.2,186
183,Карагандинская,2018,1379935,,319.4,187
182,Карагандинская,2018,1380136,,317.6,188
181,Карагандинская,2018,1380336,,315.8,189
180,Карагандинская,2018,1380537,,314.0,190
189,Костанайская,2018,873077,,331.2,181
188,Костанайская,2018,873359,,329.4,182
187,Костанайская,2018,873641,,327.6,183
186,Костанайская,2018,873923,,325.8,184
185,Костанайская,2018,874205,,324.0,185
184,Костанайская,2018,874487,,322.2,186
183,Костанайская,2018,874769,,320.4,187
182,Костанайская,2018,875051,,318.6,188
181,Костанайская,2018,875333,,316.8,189
180,Костанайская,2018,875616,,315.0,190
180,Кызылординская,2018,783157,,316.0,181
181,Кызылординская,2018,784274,,317.8,182
182,Кызылординская,2018,785392,,319.6,183
183,Кызылординская,2018,786510,,321.4,184
184,Кызылординская,2018,787628,,323.2,185
185,Кызылординская,2018,788746,,325.0,186
186,Кызылординская,2018,789863,,326.8,187
187,Кызылординская,2018,790981,,328.6,188
188,Кызылординская,2018,792099,,330.4,189
189,Кызылординская,2018,793217,,332.2,190
180,Мангистауская,2018,660317,,317.0,181
181,Мангистауская,2018,662105,,318.8,182
182,Мангистауская,2018,663893,,320.6,183
183,Мангистауская,2018,665681,,322.4,184
184,Мангистауская,2018,667469,,324.2,185
185,Мангистауская,2018,669258,,326.0,186
186,Мангистауская,2018,671046,,327.8,187
187,Мангистауская,2018,672834,,329.6,188
188,Мангистауская,2018,674622,,331.4,189
189,Мангистауская,2018,676410,,333.2,190
189,Павлодарская,2018,753953,,334.2,181
188,Павлодарская,2018,754053,,332.4,182
187,Павлодарская,2018,754153,,330.6,183
186,Павлодарская,2018,754253,,328.8,184
185,Павлодарская,2018,754353,,327.0,185
184,Павлодарская,2018,754453,,325.2,186
183,Павлодарская,2018,754553,,323.4,187
182,Павлодарская,2018,754653,,321.6,188
181,Павлодарская,2018,754753,,319.8,189
180,Павлодарская,2018,754854,,318.0,190
180,Республика Казахстан ,2018,18157337,,307.0,181
